url,status_code,final_url_after_redirects,action_category,notes
https://floridahomecosts.com/hvac/cost-to-replace-ac-unit-tampa-2026/,404,https://floridahomecosts.com/hvac/cost-to-replace-ac-unit-tampa-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/energy-efficiency/tampa-energy-efficiency-rebates-2026/,404,https://floridahomecosts.com/energy-efficiency/tampa-energy-efficiency-rebates-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/pool/cost-to-install-pool-safety-fence-cape-coral-2026/,404,https://floridahomecosts.com/pool/cost-to-install-pool-safety-fence-cape-coral-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/pool/cost-to-replace-pump-florida-2026/,404,https://floridahomecosts.com/pool/cost-to-replace-pump-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/roofing/cost-to-repair-flat-roof-in-coral-gables-2026/,404,https://floridahomecosts.com/roofing/cost-to-repair-flat-roof-in-coral-gables-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/interior/cost-to-install-kitchen-cabinets-miami-2026/,404,https://floridahomecosts.com/interior/cost-to-install-kitchen-cabinets-miami-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-miami-2026/,404,https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-miami-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/interior/cost-to-refinish-cabinets-florida-2026/,404,https://floridahomecosts.com/interior/cost-to-refinish-cabinets-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/pool/cost-to-install-in-ground-pool-naples-2026/,404,https://floridahomecosts.com/pool/cost-to-install-in-ground-pool-naples-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-repair-septic-system-florida-2026/,404,https://floridahomecosts.com/major-systems/cost-to-repair-septic-system-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/foundation/cost-to-slab-repair-miami-2026/,404,https://floridahomecosts.com/foundation/cost-to-slab-repair-miami-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-replace-hvac-system-florida-2026/,404,https://floridahomecosts.com/major-systems/cost-to-replace-hvac-system-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-install-whole-house-water-filter-tampa-2026/,404,https://floridahomecosts.com/major-systems/cost-to-install-whole-house-water-filter-tampa-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/exterior/cost-to-pour-concrete-driveway-miami-2026/,404,https://floridahomecosts.com/exterior/cost-to-pour-concrete-driveway-miami-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/exterior/cost-to-install-outdoor-kitchen-florida-2026/,404,https://floridahomecosts.com/exterior/cost-to-install-outdoor-kitchen-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/pool/cost-to-install-salt-water-system-tampa-2026/,404,https://floridahomecosts.com/pool/cost-to-install-salt-water-system-tampa-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/roofing/cost-to-replace-roof-st-petersburg-2026/,404,https://floridahomecosts.com/roofing/cost-to-replace-roof-st-petersburg-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/exterior/cost-to-install-irrigation-systems-fort-lauderdale-2026/,404,https://floridahomecosts.com/exterior/cost-to-install-irrigation-systems-fort-lauderdale-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/exterior/cost-to-build-patio-fort-lauderdale-2026/,404,https://floridahomecosts.com/exterior/cost-to-build-patio-fort-lauderdale-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-install-ev-charger-florida-2026/,404,https://floridahomecosts.com/major-systems/cost-to-install-ev-charger-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-replace-electrical-panel-florida-2026/,404,https://floridahomecosts.com/major-systems/cost-to-replace-electrical-panel-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-install-generators-florida-2026/,404,https://floridahomecosts.com/major-systems/cost-to-install-generators-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/exterior/cost-to-mitigate-flood-risk-in-tampa-2026/,404,https://floridahomecosts.com/exterior/cost-to-mitigate-flood-risk-in-tampa-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/interior/cost-to-replace-bathroom-vanities-in-orlando-2026/,404,https://floridahomecosts.com/interior/cost-to-replace-bathroom-vanities-in-orlando-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-install-well-pump-in-florida-2026/,404,https://floridahomecosts.com/major-systems/cost-to-install-well-pump-in-florida-2026/,STILL_BROKEN,HTTPError 404
https://floridahomecosts.com/major-systems/cost-to-install-septic-tank-in-florida-2026/,404,https://floridahomecosts.com/major-systems/cost-to-install-septic-tank-in-florida-2026/,STILL_BROKEN,HTTPError 404
